epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4019.74,1.38196,2.92452,1.22921,0.9536,0.93779,0.98074,0.60379,1.21268,2.04049,0.97668,0.0019984,0.000666134,0.0019984,0.000666134,0.0019984,0.000666134,0.0019984,0.000666134
2,6190.28,1.1987,1.82614,1.12594,0.97368,0.97822,0.99013,0.62837,1.14365,1.59793,0.97241,0.0035036,0.00116787,0.0035036,0.00116787,0.0035036,0.00116787,0.0035036,0.00116787
3,8069.79,1.16374,1.47164,1.12015,0.9666,0.99006,0.97945,0.64618,1.12176,1.24403,0.97191,0.0045138,0.0015046,0.0045138,0.0015046,0.0045138,0.0015046,0.0045138,0.0015046
4,9904.27,1.15266,1.19918,1.11731,0.97515,0.98911,0.99125,0.66665,1.1066,1.03702,0.96527,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
5,11696.8,1.09692,1.03897,1.08873,0.99216,0.98444,0.9942,0.69241,1.05676,0.87251,0.9437,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
6,13473.5,1.04388,0.92543,1.06816,0.98827,0.99067,0.99409,0.70208,1.01587,0.78828,0.9247,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625
7,15238.4,1.01602,0.86546,1.05483,0.99222,0.99148,0.99459,0.71381,1.00377,0.72257,0.91688,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
8,17011.5,0.96613,0.81397,1.03447,0.99844,0.99505,0.99478,0.71085,1.00635,0.70332,0.92101,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675
